School Name,State Name [Public School] Latest available year,State Name [Public School] 2024-25,School Name [Public School] 2024-25,School ID (7-digit) – NCES Assigned [Public School] 2024-25,County Name [Public School] 2024-25,County Number [Public School] 2024-25,Web Site URL [Public School] 2024-25,Location Address 1 [Public School] 2024-25,Location City [Public School] 2024-25,Location ZIP [Public School] 2024-25,Mailing Address 1 [Public School] 2024-25,Phone Number [Public School] 2024-25,School Type [Public School] 2024-25,Agency Type [District] 2024-25,Latitude [Public School] 2024-25,Longitude [Public School] 2024-25,State School ID [Public School] 2024-25,School Level (SY 2017-18 onward) [Public School] 2024-25,Grade 9 offered [Public School] 2024-25,Grade 10 offered [Public School] 2024-25,Grade 11 offered [Public School] 2024-25,Grade 12 offered [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2024-25,Grades 9-12 Students [Public School] 2024-25,Grade 9 Students [Public School] 2024-25,Grade 10 Students [Public School] 2024-25,Grade 11 Students [Public School] 2024-25,Grade 12 Students [Public School] 2024-25,Male Students [Public School] 2024-25,Female Students [Public School] 2024-25,Full-Time Equivalent (FTE) Teachers [Public School] 2024-25,Pupil/Teacher Ratio [Public School] 2024-25
QUINCY HIGH SCHOOL,Michigan,MICHIGAN,Quincy High School,2606511,Branch County,26023,http://www.quincyschools.org,18 COLFAX ST,QUINCY,49082,18 COLFAX ST,5176399245,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.943200,-84.880000,MI-12040-03135,High,1-Yes,1-Yes,1-Yes,1-Yes,346,346,73,86,73,114,171,175,14.80,23.38
QUINCY INNOVATION ACADEMY,WASHINGTON,WASHINGTON,Quincy Innovation Academy,5303737,Grant County,53025,http://www.qsd.wednet.edu,1804 13th Ave SW,Quincy,98848,1804 13th Ave SW,5097871678,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,47.222867,-119.874388,WA-13144-5648,Other,1-Yes,1-Yes,1-Yes,1-Yes,153,127,12,11,38,66,75,78,3.00,51.00
QUINCY INNOVATION ACADEMY BIG PICTURE,WASHINGTON,WASHINGTON,Quincy Innovation Academy Big Picture,5303738,Grant County,53025,†,1804 13th Ave SW,Quincy,98848,1804 13th Ave SW,5097871678,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,47.222867,-119.874388,WA-13144-5650,High,1-Yes,1-Yes,1-Yes,1-Yes,24,13,0,5,3,5,11,13,1.00,24.00
QUINCY JUNIOR/SENIOR HIGH,California,CALIFORNIA,Quincy Junior/Senior High,0604827,Plumas County,06063,http://www.pcoe.k12.ca.us,6 Quincy Junction Rd.,Quincy,95971,6 Quincy Junction Rd.,5302836510,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.939000,-120.937171,CA-3266969-3236007,High,1-Yes,1-Yes,1-Yes,1-Yes,310,220,48,60,58,54,169,141,20.03,15.48
QUINCY SR HIGH SCHOOL,Illinois,ILLINOIS,Quincy Sr High School,1705053,Adams County,17001,http://www.qps.org,3322 Maine St,Quincy,62301,3322 Maine St,2172243770,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.930025,-91.361965,IL-01-001-1720-22-010011720220003,High,1-Yes,1-Yes,1-Yes,1-Yes,1847,1847,464,486,432,465,927,920,98.75,18.70
QUINCY UPPER SCHOOL,Massachusetts,MASSACHUSETTS,Quincy Upper School,2501296,Suffolk County,25025,http://www.bostonpublicschools.org,900 Washington Street,Boston,02111,900 Washington Street,6176358940,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,42.347559,-71.063864,MA-0035-00350565,High,1-Yes,1-Yes,1-Yes,1-Yes,557,246,66,58,60,62,274,282,46.47,11.99
QUINEBAUG MIDDLE COLLEGE,Connecticut,CONNECTICUT,Quinebaug Middle College,0901530,Northeastern Connecticut Planning Region,09150,http://www.eastconn.org/divisions/magnet/qmc-quinebaug-middle-college,742 Upper Maple St.,Danielson,06239,742 Upper Maple St.,8609324100,1-Regular school,9-Specialized public school district,41.826366,-71.889944,CT-2530014-2536114,High,1-Yes,1-Yes,1-Yes,1-Yes,144,144,27,32,49,36,62,81,13.00,11.08
QUINTER JR-SR HIGH,Kansas,KANSAS,Quinter Jr-Sr High,2000473,Gove County,20063,http://www.quinterschools.org,600 Long,Quinter,67752,Box 459,7857543660,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.066160,-100.231440,KS-D0293-2712,High,1-Yes,1-Yes,1-Yes,1-Yes,133,85,20,23,20,22,69,64,15.18,8.76
QUINTON HS,Oklahoma,OKLAHOMA,QUINTON HS,4029745,Pittsburg County,40121,http://www.quintonschools.com,210 N J Street,Quinton,74561,Post Office Box 670,9184693309,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.126017,-95.366838,OK-61-I017-61-I017-715,High,1-Yes,1-Yes,1-Yes,1-Yes,115,115,22,39,34,20,64,51,7.45,15.44
QUITMAN ALTERNATIVE SCHOOL,Mississippi,MISSISSIPPI,QUITMAN ALTERNATIVE SCHOOL,2801567,Clarke County,28023,http://www.quitmanschools.org,204 South Jackson Ave,Quitman,39355,204 South Jackson Ave.,6017761047,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,32.036544,-88.720685,MS-1212-1212190,Other,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,0.00,†
QUITMAN CO VOCATIONAL COMPLEX,Mississippi,MISSISSIPPI,QUITMAN CO VOCATIONAL COMPLEX,2800731,Quitman County,28119,†,HWY # 3 SOUTH,MARKS,38646,P O BOX 117,6623268427,3-Career and Technical School,1-Regular local school district that is NOT a component of a supervisory union,34.240126,-90.278864,MS-6000-6000090,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,0.00,†
QUITMAN COUNTY HIGH SCHOOL,Georgia,GEORGIA,Quitman County High School,1303850,Quitman County,13239,http://www.quitman.k12.ga.us,173 Kaigler Rd,Georgetown,39854,173 Kaigler Rd,2293344298,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,31.885094,-85.082340,GA-718-0110,High,1-Yes,1-Yes,1-Yes,1-Yes,109,109,20,35,30,24,51,58,7.50,14.53
QUITMAN H S,Texas,TEXAS,QUITMAN H S,4804078,Wood County,48499,http://www.quitmanisd.net,1101 E GOODE ST,QUITMAN,75783,1101 E GOODE ST,9037635000,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.797444,-95.428155,TX-250904-250904001,High,1-Yes,1-Yes,1-Yes,1-Yes,346,346,97,91,76,82,182,164,38.02,9.10
QUITMAN HIGH SCHOOL,Louisiana,LOUISIANA,Quitman High School,2200556,Jackson Parish,22049,†,181 Wolverine Drive,Quitman,71268,P.O. Box 38,3182592698,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.345739,-92.720246,LA-025-025007,Other,1-Yes,1-Yes,1-Yes,1-Yes,695,203,65,47,46,45,367,328,48.56,14.31
QUITMAN HIGH SCHOOL,Mississippi,MISSISSIPPI,Quitman High School,2800725,Clarke County,28023,http://www.quitmanschools.org,210 South Jackson Ave.,Quitman,39355,210 South Jackson Ave.,6017763341,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.034647,-88.720778,MS-1212-1212012,High,1-Yes,1-Yes,1-Yes,1-Yes,437,436,104,103,114,115,221,216,16.20,26.98
QUITMAN HIGH SCHOOL,Arkansas,ARKANSAS,QUITMAN HIGH SCHOOL,0500947,Cleburne County,05023,http://quitman.k12.ar.us,6275 HEBER SPRINGS ROAD WEST,QUITMAN,72131,PO BOX 178,5015892554,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.379460,-92.222100,AR-1203000-1203011,High,1-Yes,1-Yes,1-Yes,1-Yes,308,307,80,90,70,67,156,152,38.93,7.91
QUORA SECONDARY SCHOOL,Minnesota,MINNESOTA,Quora Secondary School,2704149,Ramsey County,27123,http://www.nemetro.k12.mn.us,70 COUNTY ROAD B2 W,LITTLE CANADA,55117,70 COUNTY ROAD B2 W,6514155438,2-Special education school,9-Specialized public school district,45.012785,-93.105163,MN-060916-060916037,High,1-Yes,1-Yes,1-Yes,1-Yes,115,109,20,24,18,47,87,28,46.50,2.47
R A LONG HIGH SCHOOL,Washington,WASHINGTON,R A Long High School,5300709,Cowlitz County,53015,†,2903 Nichols Blvd.,Longview,98632,2903 Nichols Blvd.,3605757225,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,46.140000,-122.956700,WA-08122-2416,High,1-Yes,1-Yes,1-Yes,1-Yes,926,926,236,237,245,208,491,435,43.14,21.46
R D BROWN VOC CENTER,Mississippi,MISSISSIPPI,R D BROWN VOC CENTER,2800901,Harrison County,28047,†,1845 Tribe Drive,BILOXI,39532,P O BOX 168,2284356318,3-Career and Technical School,1-Regular local school district that is NOT a component of a supervisory union,30.432205,-88.944629,MS-2420-2420090,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,0.00,†
R E A D Y PROGRAM,Illinois,ILLINOIS,R E A D Y Program,1702351,Champaign County,17019,†,45 E University Ave,Champaign,61820,45 E University Ave,2172390322,4-Alternative Education School,8-Other education agencies,40.115876,-88.241125,IL-09-000-0000-00-090000000009301,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,11.00,0.00
R G DRAGE CAREER TECHNICAL CTR,Ohio,OHIO,R G Drage Career Technical Ctr,3904116,Stark County,39151,http://www.rgdrage.org,2800 Richville Dr SE,Massillon,44646,2800 Richville Dr SE,3308329856,3-Career and Technical School,4-Regional Education Service Agency (RESA),40.767072,-81.478755,OH-062026-062034,High,1-Yes,1-Yes,1-Yes,1-Yes,736,736,0,0,374,362,448,288,40.00,18.40
R J REYNOLDS HIGH,North Carolina,NORTH CAROLINA,R J Reynolds High,3700634,Forsyth County,37067,http://www.wsfcs.k12.nc.us/o/rjrhs,301 N Hawthorne Road,Winston Salem,27104,301 N Hawthorne Road,3367034145,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,36.101800,-80.265400,NC-340-496,High,1-Yes,1-Yes,1-Yes,1-Yes,1759,1759,512,433,429,385,822,937,99.24,17.72
R NELSON SNIDER HIGH SCHOOL,Indiana,INDIANA,R Nelson Snider High School,1800556,Allen County,18003,†,4600 Fairlawn Pass,Fort Wayne,46815,4600 Fairlawn Pass,2604674600,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.107800,-85.083000,IN-0235-0102,High,1-Yes,1-Yes,1-Yes,1-Yes,1927,1927,504,480,499,444,974,953,109.83,17.55
R O W V A JR AND  SR HIGH SCHOOL,Illinois,ILLINOIS,R O W V A Jr and  Sr High School,1703102,Knox County,17095,http://www.rowva.k12.il.us,335 N Joy St,Oneida,61467,335 N Joy St,3094836371,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.074869,-90.220891,IL-33-048-2080-26-330482080260001,High,1-Yes,1-Yes,1-Yes,1-Yes,248,166,41,43,35,47,120,128,31.50,7.87
R T FISHER ALTERNATIVE,Tennessee,TENNESSEE,R T Fisher Alternative,4701225,Sumner County,47165,http://rtf.sumnerschools.org,455 North Boyers,Gallatin,37066,455 North Boyers,6154516558,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,36.398500,-86.443760,TN-00830-0110,Other,1-Yes,1-Yes,1-Yes,1-Yes,127,79,18,30,18,13,89,38,–,–
R-5 HIGH SCHOOL,Colorado,COLORADO,R-5 High School,0800623,Mesa County,08077,†,455 N. 22ND ST.STE. B,GRAND JUNCTION,81501,455 N. 22ND ST.STE. B,9702546880,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,39.071333,-108.541072,CO-2000-7236,High,1-Yes,1-Yes,1-Yes,1-Yes,207,207,0,5,62,140,111,95,16.66,12.42
R-7 ONLINE ACADEMY,MISSOURI,MISSOURI,R-7 Online Academy,2903408,Jackson County,29095,http://r7oa.lsr7.org/elementary,301 NE TUDOR RD,LEE?S SUMMIT,64086,301 NE TUDOR RD,8169861005,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,38.929945,-94.374451,MO-048071-8000048071,Other,1-Yes,1-Yes,1-Yes,1-Yes,65,42,10,6,15,11,27,38,0.00,†
R-S CENTRAL HIGH SCHOOL,North Carolina,NORTH CAROLINA,R-S Central High School,3701651,Rutherford County,37161,http://rschs.rcsnc.org/,641 Hwy 221 North,Rutherfordton,28139,641 Hwy 221 North,8282873304,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.402634,-81.967691,NC-810-384,High,1-Yes,1-Yes,1-Yes,1-Yes,763,763,209,186,189,179,415,348,35.86,21.28
R. B. STALL HIGH,South Carolina,SOUTH CAROLINA,R. B. Stall High,4500265,Charleston County,45019,†,3625 Ashley Phosphate Road,North Charleston,29418,3625 Ashley Phosphate Road,8437642200,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.923086,-80.080187,SC-1001-022,High,1-Yes,1-Yes,1-Yes,1-Yes,2135,2135,676,553,470,436,1101,1034,138.00,15.47
R. C. BANNERMAN LEARNING CENTER,Florida,FLORIDA,R. C. BANNERMAN LEARNING CENTER,1202728,Clay County,12019,http://blc.oneclay.net,608 MILL ST,GREEN COVE SPRINGS,32043,608 MILL ST,9043364975,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,29.997028,-81.691316,FL-10-0111,High,1-Yes,1-Yes,1-Yes,1-Yes,211,165,19,35,34,77,143,68,22.00,9.59
R. D. ANDERSON APPLIED TECHNOLOGY CENTER,South Carolina,SOUTH CAROLINA,R. D. Anderson Applied Technology Center,4501039,Spartanburg County,45083,†,1151 Center Point Drive,Moore,29369,P.O. Box 248,8645765020,3-Career and Technical School,9-Specialized public school district,34.836239,-81.997754,SC-4281-996,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,41.00,0.00
R. K. LLOYDE HIGH,California,CALIFORNIA,R. K. Lloyde High,0600760,Los Angeles County,06037,http://www.lloydehs.org/,4951 Marine Ave.,Lawndale,90260,4951 Marine Ave.,3102633264,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,33.896028,-118.366833,CA-1964352-1930239,High,1-Yes,1-Yes,1-Yes,1-Yes,230,230,0,4,56,170,143,87,19.40,11.86
R. REX PARRIS HIGH,California,CALIFORNIA,R. Rex Parris High,0610514,Los Angeles County,06037,http://www.rrphs.org,38801 Clock Tower Plaza Dr.,Palmdale,93550,38801 Clock Tower Plaza Dr.,6612741230,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,34.588100,-118.120100,CA-1964246-1996644,High,1-Yes,1-Yes,1-Yes,1-Yes,469,469,0,1,175,293,268,201,21.39,21.93
R.I. SCHOOL FOR THE DEAF,Rhode Island,RHODE ISLAND,R.I. School for the Deaf,4400380,Providence County,44007,†,One Corliss Park,Providence,02908,One Corliss Park,4012223525,2-Special education school,5-State agency providing elementary and/or secondary level instruction,41.850910,-71.427344,RI-50-28702,Other,1-Yes,1-Yes,1-Yes,1-Yes,77,26,4,4,11,7,45,32,23.00,3.35
R.I.S.E ACADEMY AT THE JOHN M. LANGSTON CAMPUS,Virginia,VIRGINIA,R.I.S.E Academy at the John M. Langston Campus,5102750,Danville city,51590,http://web.dps.k12.va.us/jmlfs/,1005 N. Main Street,Danville,24540,1005 N. Main Street,4347995249,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,36.598999,-79.382014,VA-108-1080139,High,1-Yes,1-Yes,1-Yes,1-Yes,163,117,34,42,29,12,97,66,12.52,13.02
R.I.S.E. ACADEMY,CALIFORNIA,CALIFORNIA,R.I.S.E. Academy,0613934,Trinity County,06105,http://www.tcoek12.org,200 Memorial Dr.,Weaverville,96093,PO Box 1256,5306232861,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,40.736815,-122.947564,CA-5310538-0132423,High,1-Yes,1-Yes,1-Yes,1-Yes,4,2,0,0,2,0,3,1,1.05,3.81
R.I.S.E. PROGRAM,MINNESOTA,MINNESOTA,R.I.S.E. Program,2705074,Brown County,27015,†,1315 S BROADWAY ST,NEW ULM,56073,1315 S BROADWAY ST,5073598700,2-Special education school,9-Specialized public school district,44.299780,-94.446688,MN-616049-616049050,Other,1-Yes,1-Yes,1-Yes,1-Yes,17,7,4,1,0,2,13,4,3.47,4.90
RABUN COUNTY HIGH SCHOOL,Georgia,GEORGIA,Rabun County High School,1301520,Rabun County,13241,http://www.rabuncountyschools.org/our-schools/rabun-county-high-school,230 Wildcat Hill Dr,Tiger,30576,230 Wildcat Hill Dr,7067824526,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.827000,-83.421300,GA-719-0177,High,1-Yes,1-Yes,1-Yes,1-Yes,647,647,164,174,151,158,327,320,55.30,11.70
RABY HIGH SCHOOL,Illinois,ILLINOIS,Raby High School,1705075,Cook County,17031,http://www.cps.edu,3545 W Fulton Blvd,Chicago,60624,3545 W Fulton Blvd,7735346755,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.885800,-87.715400,IL-15-016-2990-25-150162990250826,High,1-Yes,1-Yes,1-Yes,1-Yes,128,128,14,33,27,54,75,53,24.50,5.22
RACELAND-WORTHINGTON HIGH SCHOOL,Kentucky,KENTUCKY,Raceland-Worthington High School,2101240,Greenup County,21089,†,500 Ram Blvd,Raceland,41169,500 Ram Blvd.,6068367141,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,38.542800,-82.737300,KY-045502000-045502020,High,1-Yes,1-Yes,1-Yes,1-Yes,387,310,69,84,86,71,195,192,20.92,18.50
RACELAND-WORTHINGTON SCHOOLS CAMPUS A,Kentucky,KENTUCKY,Raceland-Worthington Schools Campus A,2101465,Boyd County,21019,†,1539 Greenup Ave,Ashland,41101,1539 Greenup Avenue,6068367141,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,38.479995,-82.638927,KY-045502000-045502160,High,1-Yes,1-Yes,1-Yes,1-Yes,5,4,2,0,1,1,4,1,2.66,1.88
RACELAND-WORTHINGTON SCHOOLS CAMPUS B,Kentucky,KENTUCKY,Raceland-Worthington Schools Campus B,2102015,Boyd County,21019,†,2420 Roberts Dr,Ashland,41101,2420 Roberts Drive,6069202091,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,38.474538,-82.667184,KY-045502000-045502011,Other,1-Yes,1-Yes,1-Yes,1-Yes,24,20,4,11,4,1,0,24,3.50,6.86
RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,New York,NEW YORK,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,3605826,Kings County,36047,†,521 WEST AVE,BROOKLYN,11224,521 WEST AVE,7182650329,1-Regular school,2-Local school district that is a component of a supervisory union,40.582707,-73.972203,NY-332100010000-332100011344,High,1-Yes,1-Yes,1-Yes,1-Yes,619,619,175,150,158,136,355,264,45.76,13.53
RACINE ALTERNATIVE LEARNING,WISCONSIN,WISCONSIN,Racine Alternative Learning,5503045,Racine County,55101,http://www.rusd.org/district/alternative-programs,2333 Northwestern Ave,Racine,53404,2333 Northwestern Ave,2626355600,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,42.739851,-87.811325,WI-4620-0801,Other,1-Yes,1-Yes,1-Yes,1-Yes,183,165,7,11,29,118,92,91,28.20,6.49
RACINE COUNTY DETENTION CENTER,WISCONSIN,WISCONSIN,Racine County Detention Center,5503384,Racine County,55101,http://www.rusd.org/district/alternative-programs,1717 Taylor Ave,Racine,53403,3109 Mount Pleasant St,2626317121,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,42.709392,-87.804455,WI-4620-0897,Other,1-Yes,1-Yes,1-Yes,1-Yes,20,19,2,6,9,2,17,3,2.80,7.14
RACINE COUNTY JAIL,WISCONSIN,WISCONSIN,Racine County Jail,5503383,Racine County,55101,http://www.rusd.org/district/alternative-programs,717 Wisconsin Ave,Racine,53403,3109 Mount Pleasant St,2626355600,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,42.725214,-87.783179,WI-4620-0895,High,1-Yes,1-Yes,1-Yes,1-Yes,10,10,0,0,0,10,10,0,0.20,50.00
RADFORD CITY VIRTUAL,VIRGINIA,VIRGINIA,Radford City Virtual,5103095,Radford city,51750,†,1612 Wadsworth Street,Radford,24141,1612 Wadsworth Street,5407313647,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.118810,-80.565671,VA-122-1220102,Other,1-Yes,1-Yes,1-Yes,1-Yes,1694,1685,407,443,468,367,636,1058,90.00,18.82
RADFORD HIGH,Virginia,VIRGINIA,Radford High,5101345,Radford city,51750,http://rhs.rcps.org/,50 Dalton Dr,Radford,24141,50 Dalton Dr,5407313649,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.135550,-80.569966,VA-122-1220041,High,1-Yes,1-Yes,1-Yes,1-Yes,506,506,124,131,122,129,265,241,41.38,12.23
RADFORD M LOCKLIN TECHNICAL COLLEGE,Florida,FLORIDA,RADFORD M LOCKLIN TECHNICAL COLLEGE,1202257,Santa Rosa County,12113,http://www.locklintech.com/,5330 BERRYHILL RD,MILTON,32570,5330 BERRYHILL RD,8509835715,3-Career and Technical School,1-Regular local school district that is NOT a component of a supervisory union,30.648009,-87.099766,FL-57-0321,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,8.00,0.00
RADIUS HIGH SCHOOL,NEBRASKA,NEBRASKA,RADIUS HIGH SCHOOL,3102455,Douglas County,31055,†,5040 GRAND AVENUE,OMAHA,68104,5040 GRAND AVENUE,5318950055,4-Alternative Education School,8-Other education agencies,41.304112,-95.993209,NE-284023000-284023001,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,1.01,0.00
RADNOR SHS,Pennsylvania,PENNSYLVANIA,Radnor SHS,4201921,Delaware County,42045,http://www.rtsd.org,130 King of Prussia Rd,Radnor,19087,130 King of Prussia Rd,6102930855,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,40.039700,-75.359400,PA-125237603-1921,High,1-Yes,1-Yes,1-Yes,1-Yes,1146,1146,286,295,272,293,578,568,92.20,12.43
RAES EAST ALT ED,ILLINOIS,ILLINOIS,RAES East Alt Ed,1706383,Knox County,17095,†,932 Harrison St,Galesburg,61401,932 Harrison St,3093453828,4-Alternative Education School,8-Other education agencies,40.958377,-90.353300,IL-33-000-0000-00-330000000009203,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,0.00,†
RAES NIGHT SCHOOL,Illinois,ILLINOIS,RAES Night School,1706069,Knox County,17095,†,932 Harrison St,Galesburg,61401,932 Harrison St,3093453828,4-Alternative Education School,8-Other education agencies,40.958377,-90.353300,IL-33-000-0000-00-330000000009201,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,0.00,†
RAES RSSP,Illinois,ILLINOIS,RAES RSSP,1702923,Knox County,17095,†,932 Harrison St,Galesburg,61401,932 Harrison St,3093453828,4-Alternative Education School,8-Other education agencies,40.958377,-90.353300,IL-33-000-0000-00-330000000009301,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,2.00,0.00
RAES WEST,ILLINOIS,ILLINOIS,RAES West,1702826,Knox County,17095,†,932 Harrison St,Galesburg,61401,932 Harrison St,3097343818,4-Alternative Education School,8-Other education agencies,40.958377,-90.353300,IL-33-000-0000-00-330000000009302,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,0.00,†
RAES WEST ALT ED,ILLINOIS,ILLINOIS,RAES West Alt Ed,1704060,Knox County,17095,†,932 Harrison St,Galesburg,61401,932 Harrison St,3097343818,4-Alternative Education School,8-Other education agencies,40.958377,-90.353300,IL-33-000-0000-00-330000000009202,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,0.00,†
RAFAEL CORDERO SAN JUAN,Puerto Rico,PUERTO RICO,RAFAEL CORDERO SAN JUAN,7201281,San Juan Municipio,72127,†,CALLE AURORA ESQ HOARE PDA 15,SAN JUAN,00908,PO BOX 9161,7877226643,3-Career and Technical School,1-Regular local school district that is NOT a component of a supervisory union,18.450940,-66.080984,PR-01-61762,High,1-Yes,1-Yes,1-Yes,1-Yes,147,117,25,36,33,23,74,73,16.00,9.19
RAFAEL MARIA DE LABRA,Puerto Rico,PUERTO RICO,RAFAEL MARIA DE LABRA,7201279,San Juan Municipio,72127,†,PONCE DE LEON PDA #18 SANTURCE,SAN JUAN,00909,CALLE 11 VILLA PALMERAS,7877242700,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,18.450200,-66.074500,PR-01-61705,High,1-Yes,1-Yes,1-Yes,1-Yes,192,131,35,41,18,37,104,88,18.00,10.67
RAFAEL PONT FLORES,Puerto Rico,PUERTO RICO,RAFAEL PONT FLORES,7201569,Aibonito Municipio,72009,†,CALLE RUIZ RIVERA FINAL SECTOR EL COQUI,AIBONITO,00705,PO BOX 1269,7877354571,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,18.133916,-66.267068,PR-01-20255,Other,1-Yes,1-Yes,1-Yes,1-Yes,525,111,27,29,33,22,239,286,52.00,10.10
RAFAELINA E. LEBRON FLORES,Puerto Rico,PUERTO RICO,RAFAELINA E. LEBRON FLORES,7200490,Patillas Municipio,72109,†,URB SAN MARTIN CALLE PRINCIPAL FINAL,PATILLAS,00723,PO BOX 1133,7878393419,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,18.005603,-66.010912,PR-01-35816,High,1-Yes,1-Yes,1-Yes,1-Yes,210,207,47,53,54,53,94,116,30.00,7.00
RAFT RIVER JR/SR HIGH SCHOOL,Idaho,IDAHO,RAFT RIVER JR/SR HIGH SCHOOL,1600134,Cassia County,16031,†,55 NORTH 100 WEST TROJAN DRIVE,MALTA,83342,PO BOX 68,2086452220,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,42.307704,-113.372244,ID-151-0083,High,1-Yes,1-Yes,1-Yes,1-Yes,154,116,33,32,25,26,83,71,14.66,10.50
RAGLAND HIGH SCHOOL,Alabama,ALABAMA,Ragland High School,0101376,St. Clair County,01115,http://www.raglandschoolhome.com,1060 Main St,Ragland,35131,1060 Main St,2054722123,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.742200,-86.151800,AL-058-0120,Other,1-Yes,1-Yes,1-Yes,1-Yes,411,103,28,33,20,22,216,195,26.50,15.51
RAHWAY HIGH SCHOOL,New Jersey,NEW JERSEY,Rahway High School,3405634,Union County,34039,http://www.rahway.net,1012 MADISON AVE,RAHWAY,07065,1012 MADISON AVE,7323961090,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,40.610600,-74.293700,NJ-394290-050,High,1-Yes,1-Yes,1-Yes,1-Yes,1286,1286,296,339,336,315,703,581,97.60,13.18
RAIDER VIRTUAL ACADEMY,MICHIGAN,MICHIGAN,Raider Virtual Academy,2608919,Genesee County,26049,http://www.flushingschools.org,230 OAK ST,FLUSHING,48433,5039 DELAND RD,8105911187,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,43.060204,-83.859834,MI-25120-03653,High,1-Yes,1-Yes,1-Yes,1-Yes,98,98,2,21,21,54,50,48,0.00,†
RAILS ACADEMY,Minnesota,MINNESOTA,Rails Academy,2704477,St. Louis County,27137,http://hs.proctor.k12.mn.us/o/phs,131 9TH AVE,PROCTOR,55810,131 9TH AVE,2185203217,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,46.743854,-92.236796,MN-010704-010704020,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
